ISO Date,moon_theta,moon_phi,sun_theta,sun_phi,eclipse
1976-04-29T10:24:18.000,39.5663,-0.166901,39.5499,0.000840638,1
1976-10-23T05:13:45.000,211.215,-0.740503,210.248,-0.0027549,1
1977-04-18T10:31:30.000,28.4828,-0.880275,28.5842,0.000169978,1
1977-10-12T20:27:27.000,199.504,-0.350968,199.703,-0.00305428,1
1978-04-07T15:03:47.000,16.8712,-1.40561,17.7339,0.000183673,1
1978-10-02T06:28:43.000,189.748,0.716856,189.009,-0.0017586,1
1979-02-26T16:55:06.000,336.947,0.508388,337.785,-0.00182649,1
1979-08-22T17:22:38.000,149.008,-1.66375,149.301,-0.00117643,1
1980-02-16T08:54:01.000,327.291,-0.703417,327.116,-0.00336621,1
1980-08-10T19:12:21.000,138.24,-1.02109,138.549,-0.00068823,1
1981-02-04T22:09:24.000,315.892,-0.837499,316.286,-0.00250065,1
1981-07-31T03:46:37.000,128.865,0.0199827,128.11,0.000460676,1
1982-01-25T04:42:53.000,305.52,-1.8233,305.136,-0.00371084,1
1982-06-21T12:04:33.000,90.0021,-1.62338,90.0342,0.00132415,1
1982-07-20T18:44:44.000,117.325,0.428357,117.954,-0.000126767,1
1982-12-15T09:32:09.000,263.735,0.21424,263.32,-0.00437351,1
1983-06-11T04:43:33.000,80.6592,-1.22167,79.9502,0.000426874,1
1983-12-04T12:31:15.000,251.918,-0.502417,252.008,-0.00420312,1
1984-05-30T16:45:41.000,68.8771,-0.217508,69.6523,0.000816896,1
1984-11-22T22:54:17.000,241.085,-0.701631,241.043,-0.00287224,1
1985-05-19T21:29:38.000,58.5055,0.250777,59.031,-0.00016686,1
1985-11-12T14:11:27.000,229.94,-1.94952,230.335,-0.0038968,1
1986-04-09T06:21:22.000,19.7576,-1.79419,19.3013,-0.00145807,1
1986-10-03T19:06:15.000,190.268,0.124237,190.455,-0.00266449,1
1987-03-29T12:49:47.000,8.01054,-0.780139,8.4745,-0.000881464,1
1987-09-23T03:12:22.000,180.556,-0.106478,179.739,-0.00118512,1
1988-03-18T01:58:56.000,357.963,-0.395677,357.854,-0.00165692,1
1988-09-11T04:44:29.000,169.62,-0.74883,168.822,-0.000893015,1
1989-03-07T18:08:41.000,346.27,0.749169,347.295,-0.00105869,1
1989-08-31T05:31:47.000,158.675,-1.42401,157.937,-0.000509436,1
1990-01-26T19:31:24.000,306.132,-1.24176,306.721,-0.00183901,1
1990-07-22T03:03:07.000,120.012,0.0983423,119.198,-0.000673262,1
1991-01-15T23:53:51.000,295.506,-0.608741,295.453,-0.00198193,1
1991-07-11T19:07:01.000,108.57,-0.871479,109.093,-0.000833868,1
1992-01-04T23:05:37.000,283.856,0.0389552,283.953,-0.0019021,1
1992-06-30T12:11:22.000,98.825,-1.15259,99.0369,6.11889e-05,1
1992-12-24T00:31:41.000,272.67,0.630869,272.544,-0.00187878,1
1993-05-21T14:20:15.000,60.1477,0.719465,60.6165,-0.000206957,1
1993-11-13T21:45:51.000,231.629,-1.51916,231.613,-0.00196111,1
1994-05-10T17:12:27.000,49.1423,-0.0418149,49.8801,-0.000552947,1
1994-11-03T13:40:06.000,220.822,-1.3053,220.972,-0.00268761,1
1995-04-29T17:33:20.000,38.159,-0.697599,38.9942,-0.000620979,1
1995-10-24T04:33:30.000,211.206,-0.0270045,210.348,-0.00106562,1
1996-04-17T22:38:12.000,27.7741,-1.67769,28.2328,-0.00139573,1
1996-10-12T14:03:04.000,199.291,0.207782,199.562,-0.00257023,1
1997-03-09T01:24:51.000,348.732,0.17584,348.553,-0.00174963,1
1997-09-02T00:04:48.000,160.095,-1.51174,159.6,-0.00170269,1
1998-02-26T17:29:27.000,337.038,-0.138472,337.934,-0.000896695,1
1998-08-22T02:07:11.000,149.523,-0.769165,148.819,-0.00137447,1
1999-02-16T06:34:38.000,327.487,-1.34415,327.143,-0.00246872,1
1999-08-11T11:04:09.000,138.507,0.0566527,138.355,-0.00105195,1
2000-02-05T12:50:27.000,315.459,-1.80978,316.019,-0.00187394,1
2000-07-01T19:33:34.000,99.8308,-2.15784,100.236,-0.00218175,1
2000-07-31T02:14:08.000,128.766,0.547319,128.178,-0.00171175,1
2000-12-25T17:35:57.000,273.683,0.484462,274.23,-0.00128873,1
2001-06-21T12:04:46.000,90.0675,-0.940262,90.1572,-0.00118323,1
2001-12-14T20:53:01.000,262.607,-0.0206977,262.91,-0.00081474,1
2002-06-10T23:45:22.000,79.8897,-0.681454,79.8715,-0.00252683,1
